Sample:float,Data:float,
748.0,18944.0,
749.0,20752.0,
750.0,18560.0,
751.0,13344.0,
752.0,6912.0,
753.0,1840.0,
754.0,80.0,
755.0,2272.0,
756.0,7568.0,
757.0,13920.0,
758.0,18992.0,
759.0,20720.0,
760.0,18544.0,
761.0,13248.0,
762.0,6864.0,
763.0,1856.0,
764.0,128.0,
765.0,2288.0,
766.0,7600.0,
767.0,13952.0,
768.0,18960.0,
769.0,20736.0,
770.0,18512.0,
771.0,13216.0,
772.0,6768.0,
773.0,1856.0,
774.0,96.0,
775.0,2336.0,
776.0,7648.0,
777.0,14016.0,
778.0,19024.0,
779.0,20704.0,
780.0,18480.0,
781.0,13120.0,
782.0,6816.0,
783.0,1728.0,
784.0,80.0,
785.0,2368.0,
786.0,7680.0,
787.0,14048.0,
788.0,19024.0,
789.0,20704.0,
790.0,18400.0,
791.0,13104.0,
792.0,6736.0,
793.0,1728.0,
794.0,96.0,
795.0,2400.0,
796.0,7824.0,
797.0,14080.0,
798.0,19072.0,
799.0,20672.0,
800.0,18432.0,
801.0,13056.0,
802.0,6352.0,
803.0,1728.0,
804.0,288.0,
805.0,2432.0,
806.0,7792.0,
807.0,14224.0,
808.0,19072.0,
809.0,20720.0,
810.0,18352.0,
811.0,12784.0,
812.0,6608.0,
813.0,1728.0,
814.0,96.0,
815.0,2432.0,
816.0,7824.0,
817.0,14192.0,
818.0,19120.0,
819.0,20688.0,
820.0,18336.0,
821.0,12944.0,
822.0,6592.0,
823.0,1664.0,
824.0,112.0,
825.0,2464.0,
826.0,7904.0,
827.0,14272.0,
828.0,19184.0,
829.0,20704.0,
830.0,18304.0,
831.0,12928.0,
832.0,6544.0,
833.0,1648.0,
834.0,112.0,
835.0,2528.0,
836.0,7888.0,
837.0,14304.0,
838.0,19184.0,
839.0,20704.0,
840.0,18368.0,
841.0,12848.0,
842.0,6480.0,
843.0,1600.0,
844.0,176.0,
845.0,2528.0,
846.0,8000.0,
847.0,14240.0,
848.0,19200.0,
849.0,20720.0,
850.0,18272.0,
851.0,12800.0,
852.0,6448.0,
853.0,1632.0,
854.0,96.0,
855.0,2592.0,
856.0,8032.0,
857.0,14416.0,
858.0,19232.0,
859.0,20688.0,
860.0,18208.0,
861.0,12736.0,
862.0,6400.0,
863.0,1536.0,
864.0,144.0,
865.0,2608.0,
866.0,8048.0,
867.0,14432.0,
868.0,19280.0,
869.0,20672.0,
870.0,18224.0,
871.0,12720.0,
872.0,6368.0,
873.0,1568.0,
874.0,128.0,
875.0,2672.0,
876.0,8128.0,
877.0,14512.0,
878.0,19280.0,
879.0,20560.0,
880.0,18176.0,
881.0,12672.0,
882.0,6320.0,
883.0,1536.0,
884.0,112.0,
885.0,2656.0,
886.0,8192.0,
887.0,14544.0,
888.0,19328.0,
889.0,20672.0,
890.0,18128.0,
891.0,12640.0,
892.0,6272.0,
893.0,1488.0,
894.0,128.0,
895.0,2736.0,
896.0,8224.0,
897.0,14576.0,
898.0,19296.0,
899.0,20672.0,
900.0,18048.0,
901.0,12576.0,
902.0,6224.0,
903.0,1456.0,
904.0,0.0,
905.0,2720.0,
906.0,8304.0,
907.0,14560.0,
908.0,19392.0,
909.0,20640.0,
910.0,18064.0,
911.0,12496.0,
912.0,6176.0,
913.0,1472.0,
914.0,192.0,
915.0,2848.0,
916.0,8288.0,
917.0,14704.0,
918.0,19360.0,
919.0,20704.0,
920.0,18016.0,
921.0,12480.0,
922.0,6128.0,
923.0,1392.0,
924.0,272.0,
925.0,2784.0,
926.0,8400.0,
927.0,14720.0,
928.0,19440.0,
929.0,20656.0,
930.0,18000.0,
931.0,12448.0,
932.0,6064.0,
933.0,1392.0,
934.0,160.0,
935.0,2848.0,
936.0,8432.0,
937.0,14768.0,
938.0,19344.0,
939.0,20624.0,
940.0,17952.0,
941.0,12336.0,
942.0,6016.0,
943.0,1312.0,
944.0,176.0,
945.0,2896.0,
946.0,8464.0,
947.0,14800.0,
948.0,19440.0,
949.0,20592.0,
950.0,17952.0,
951.0,12320.0,
952.0,5984.0,
953.0,1360.0,
954.0,160.0,
955.0,2912.0,
956.0,8544.0,
957.0,14880.0,
958.0,19488.0,
959.0,20768.0,
960.0,17856.0,
961.0,12272.0,
962.0,5904.0,
963.0,1328.0,
964.0,144.0,
965.0,2944.0,
966.0,8576.0,
967.0,14912.0,
